target,description
zdrowie środowiskowe i bhp,studia kierunku zdrowie środowiskowe bhp charakter interdyscyplinarny celem dostarczenie wiedzy kompetencji zakresu nauk zdrowiu nauk przyrodniczych nauk zarządzaniu duża cześć zajęć charakter praktyczny realizowane formie ćwiczeń laboratoryjnych seminariów praktyk ramach zajęć studenci odbywają wizyty studyjne firmach przedsiębiorstwach stwarza szansę kontaktu potencjonalnymi pracodawcami studia prowadzone zakresie dwóch specjalności realizacja specjalności bezpieczeństwo higiena pracy umożliwia zdobycie uprawnień pełnienia funkcji starszego inspektora spraw bezpieczeństwa higieny pracy studia ii stopnia prowadzone trybie stacjonarnym studia kierunku propozycja osób dociekliwych sumiennych mających zdolność analitycznego myślenia umiejętność poszukiwania związków przyczynowo skutkowych przyjęcie ubiegać absolwenci studiów stopnia ukończonych kierunku zdrowie środowiskowe kierunkach pokrewnych medycznych przyrodniczych chemicznych programie studiów znajdziemy przedmioty biologia molekularna biostatystyka etyka środowisko małe średnie przedsiębiorstwa międzynarodowe problemy zdrowia psychologia społeczna zapewnienie jakości pomiarów analitycznych zarządzanie projektami ergonomia higiena pracy ryzyko zdrowotne warunkach pracy czynniki ryzyka środowiskowego metodologia badań epidemiologicznych ekotoksykologia prognozowanie jakości środowiska polityka ekologiczna aspekty procesu urbanizacji ekonomika kontroling bhp ochrona zdrowia warunkach pracy medycyna środowiskowa narzędzia zarządzania środowiskiem
zielarstwo i fitoprodukty,zielarstwo fitoprodukty kierunek obejmujący zagadnienia związane produkcją dystrybucją sprzedażą produktów pochodzenia roślinnego choć użytkowanie roślin zielarskich sięga najdawniejszych czasów uprawa jedną najmłodszych gałęzi produkcji rolniczej studenci uzyskują kompetencje niezbędne uprawy zbioru suszenia przechowywania oceny jakości surowców roślinnych fitoproduktów projektowania organizowania zarządzania gospodarstwem zielarskim pracy laboratoriach fitochemicznych pracy stopień studiów kończy uzyskaniem tytułu inżyniera możliwość kontynuowania kształcenia samym kierunku magisterskich studiach ii stopnia kierunek przewidziany osób zainteresowanych naukami przyrodniczymi medycznym wykorzystaniem roślin przetwarzaniem surowców roślinnych potrzeby lecznicze wybrane przedmioty programie kształcenia historia zielarstwa przyprawy krajowe egzotyczne substancje bioaktywne zielarstwo ogólne szczegółowe farmakognozja diagnostyka laboratoryjna fitoproduktów leki roślinne fitoterapia preparaty galenowe fitoaromaty suplementy diety zioła tradycji ludowej tworzenie modeli biznesowych
zielarstwo i fitoterapia,kierunek studiów zielarstwo fitoterapia mieści obszarze kształcenia zakresie nauk rolniczych leśnych weterynaryjnych realizowany program studiów zawiera elementy wiedzy umiejętności zakresu nauk przyrodniczych ścisłych społecznych studenci toku studiów poznają zasady uprawy roślin leczniczych przyprawowych suszenia przechowywania standaryzacji oceny jakości surowców zielarskich oferowane specjalności studia propozycją osób zainteresowanych naukami przyrodniczymi właściwościami leczniczymi roślin zastosowaniem ziół lecznictwie kosmetologii program studiów obejmuje przedmioty chemia biochemia nauka morfologii anatomia systematyka roślin uprawa roli roślin zielarskich anatomia fizjologia człowieka higiena żywienie człowieka dietetyką farmakognozja prawo farmaceutyczne prawo żywieniowe produkcja roślin zielarskich technologie roślinne substancji bioaktywnych toksykologia fitoterapia zastosowanie roślin leczniczych kosmetyce
zoofizjoterapia i pielęgnacja zwierząt,dzięki studiom kierunku zoofizjoterapia pielęgnacja zwierząt poznasz zagadnienia związane bezpieczeństwem higieną pracy zwierzętami zachowaniem zwierząt towarzyszących hodowlanych dzikich zgłębisz tajniki genetyki cytologii biochemii anatomii fizjologii zwierząt zyskasz wiedzę pozwoli praktyczne prowadzenie terapii projektowanie programów treningu zwierząt kierunek realizowany stacjonarnych studiach inżynierskich praktyczny profil kształcenia zwierzęta pasją chcesz zajmować zawodowo studia pewno zainteresują programie studiów przewidziano zagadnienia biomechanika fizjologia aparatu ruchu terapie manualne fizykalne projektowanie programów treningu zwierząt użytkowanych sportowo żywienie zwierząt uwzględnieniem suplementacji treningu żywienie zwierząt chorych czasie rekonwalescencji chów zwierząt amatorskich ornitologia kynologia podstawy chowu hodowli zwierząt monogastrycznych przeżuwaczy fizjologia behawioralna sporty hippiczne psychologia zwierząt
żywienie człowieka i dietoterapia,dietetyka towaroznawstwo przedsiębiorczość najprościej podsumować kierunek żywienie człowieka dietoterapia absolwent zdobędzie wiedzę umiejętności umożliwiające prowadzenie samodzielnej efektywnej ekonomicznie zorientowanej potrzeby rynku działalności gospodarczej zakresie poradnictwa współpracy branżą wellness fitness podjęcie pracy przedsiębiorstwach przetwórstwa żywności kontroli obrotu żywnością wiedza umiejętności praktyczne zakresu chemii żywności nauk żywieniowych połączeniu naukami technologicznymi technicznymi ekonomicznymi umożliwiają wszechstronny rozwój szerszą możliwość wyboru dróg kariery zawodowej ukończeniu studiów żywienie człowieka dietoterapia odpowiedni kierunek osób chcą poszerzać swoją świadomość dotyczącą zdrowia odpowiedzialnej diety okazji chęć pomocy innym kandydat studia lubić radzić przedmiotami ścisłymi wybrane przedmioty kierunku żywienie człowieka dietoterapia standaryzacja jakość produktów spożywczych ogólna technologia żywności podstawy ekonomii podstawy anatomii fizjologii człowieka fizyka chemia ogólna nieorganiczna podstawy żywienia człowieka podstawy technologii surowców zwierzęcych informatyka nowe rodzaje żywności związki biologiczne czynne żywności transport przechowywanie żywności żywieniu zbiorowym technologie metody przechowywania żywności dietoprofilaktyka podstawy treningu personalnego żywienie zbiorowe organizacja zarządzanie przedsiębiorstwem ekologia ochrona środowiska poradnictwo żywieniowe biochemia marketing przemyśle żywieniowym mikrobiologia żywności statystyka towaroznawstwo
żywienie człowieka i ocena żywności,żywienie człowieka ocena żywności studia charakterze przyrodniczym elementami nauk konsumenckich kształcenia uwzględnia aspekty techniczne technologiczne ekonomiczne organizacyjne dotyczące żywienia pojedynczych osób różnych grup populacyjnych dzieci młodzieży osób dorosłych osób starszych osób zwiększonej aktywności fizycznej kobiet ciąży karmiących piersią studenci uzyskują wiedzę umiejętności dotyczące znaczenia racjonalnego żywienia zachowaniu zdrowia poznają metody sposoby przetwarzania utrwalania przechowywania analizy kontroli jakości produktów spożywczych zasady funkcjonowania rynku żywności istotę żywnościowego zachowań konsumentów studia realizowane systemie dwustopniowym studia przewidziane osób zainteresowanych naukami przyrodniczymi szczególności aspektami związanymi odżywianiem oceną jakości produktów żywieniowych doborem składników analizą jakościową wybrane przedmioty programie studiów żywienie człowieka ocena żywienia racjonalizacja żywienia podstawy dietetyki analiza żywności analiza sensoryczna towaroznawstwo żywności przetworzonej żywność funkcjonalna wygodna ekologiczna wyposażenie zakładów żywienia projektowanie technologiczne zakładów przemysłu spożywczego higiena żywności systemy zapewnienia bezpieczeństwa zdrowotnego żywności badania marketingowe zachowania konsumentów rynku żywności ochrona konsumenta etyka łańcuchu żywnościowym
andragogika,studia kierunku andragogika maja celu wykształcenie wysokiej klasy specjalistów posiadali następujące kompetencje absolwent umieć wykorzystać zdobytą wiedzę andragogiczną analizy stanu zmian zachodzących obszarze edukacji dorosłych potrafić planować organizować promować działania edukacyjne przeznaczone osób dorosłych zgodnie obowiązującymi standardami społecznymi zawodowymi edukacyjnymi nawiązywać relacje współdziałać innymi osobami celu realizacji przyjętych zadań propozycja osób komunikatywnych empatycznych gotowych wyzwania cierpliwych kreatywnych programie studiów znajdują przedmioty przybliżające wiedzę dotyczącą procesu uczenia dorosłych determinujących czynników rozwiązań edukacyjnych realizowanych obszarach edukacji formalnej pozaformalnej nieformalnej studenci uczą wiedza człowieku pozwala wspierać aktywność edukacyjną dorosłych kreować własną biografię wiedzę zakresu edukacji dorosłych studenci uzupełniają wiedzą funkcjonowaniu człowieka współczesnym rynku pracy zasadach rozwoju szkolenia pracowników organizacji poznają rolę funkcje współczesnych technologii edukacji człowieka dorosłego
biologia z przygotowaniem pedagogicznym,biologia przygotowaniem pedagogicznym studia przygotowujące nauczania biologii szkołach podstawowych średnich kształcenie obejmuje zagadnienia obszaru botaniki zoologii biochemii biologii komórki genetyki mikrobiologii fizjologii roślin zwierząt ekologii immunologii ochrony środowiska ewolucjonizmu studenci poznają techniki laboratoryjne analityczne zasady pracy terenie grupa zajęć obszaru metodyki pedagogiki psychologii przygotowuje pracy zawodzie nauczyciela biologia przygotowaniem pedagogicznym propozycją miłośników nauk przyrodniczych swoją przyszłość zawodową wiążą pracą szkole oprócz przedmiotów związanych poszczególnymi działami biologii program studiów biologii przygotowaniem pedagogicznym przewiduje zajęcia przygotowujące nauczania biologii pracy szkole pracy dziećmi molekularna biologia komórki ewolucjonizm ochrona środowiska fizyka biofizyka chemia nieorganiczna zoologia bezkręgowców zoologia kręgowców botanika systematyczna fizjologia roślin mikrobiologia podstawy pedagogiki nauczycieli podstawy psychologii nauczycieli edukacja środowiskowa podstawy dydaktyki
e-pedagogika,kierunek klasycznych studiów pedagogicznych prowadzony formie niestacjonarnej wykorzystaniem metody studia osób chętnych pracować specjalnych potrzebach ludzi cechujących wrażliwością gotowych odbyć całe studia formie zdalnej przykładowe przedmioty realizowane ramach antropologia filozoficzna kulturowa kierunki tendencje współczesnej myśli filozoficznej etycznej pedagogika porównawcza pedagogika społeczna pedeutologia psychologia społeczna podstawy prawa rodzinnego oświatowego mediacje filozofia wychowania andragogika edukacja zdrowotna promocja zdrowia
edukacja artystyczna,studia kierunku edukacja artystyczna charakter interdyscyplinarny bazują wiedzy zakresu nauk społecznych klasycznych nowoczesnych technologii plastycznych wyposażają wiedzę dotyczącą historii sztuki historii kultury psychologii pedagogiki filozofii stanowić bazę rozwijania praktycznych działań plastycznych technicznych studenci uzyskują kompetencje zakresu metodologii badań pedagogicznych niezbędnych pracy obszarze szeroko pojętego kształcenia edukacji przygotowują organizowania kreatywnych atrakcyjnych zajęć osób każdym wieku kierunku realizowana specjalność plastyka technika studia stopnia prowadzone trybie stacjonarnym studia kierunku propozycją osób cechujących wrażliwością artystyczna uzdolnieniami plastycznymi interesujących sztuką pragnących rozwijać zainteresowania poszukujących przestrzeni realizowania projektów artystycznych rozwijania indywidualnych zainteresowań umiejętności warsztatowych programie studiów znajdziemy przedmioty antropologia kulturowa etyczne aspekty twórczości historia rozwoju myśli technologicznej malarstwo materiałoznawstwo pedagogika małego dziecka pedagogika specjalna elementami logopedii pedagogika wczesnoszkolna psychologia rozwoju rysunek socjologiczne podstawy sztuki edukacji fotografia grafika projektowa historia sztuki analizą dzieła malarstwo materiałoznawstwo pedagogika społeczna podstawy prawne organizacyjne oświaty chór emisją głosu fotografia grafika projektowa historia kultury pomorza zachodniego historia sztuki analizą dzieła pedagogika ogólna poligrafia psychologia ogólna
edukacja artystyczna w zakresie sztuk plastycznych,studia kierunku edukacja artystyczna zakresie sztuk plastycznych celu wykształcenie absolwentów posiadających wiedzę umiejętności wykwalifikowanego plastyka twórcy zakresie sztuk plastycznych uczestnika animatora kultury współczesnej trakcie studiów student zdobywa elementarną wiedzę zakresu teorii historii sztuki poznaje teoretyczne podstawy sztuk plastycznych nabywa praktycznych umiejętności warsztatowych potrzebnych realizacji upowszechniania różnorodnych postaci przekazów wizualnych medialnych celów artystycznych poznawczych użytkowych przykładowe specjalności oferowane kierunku studiów istotnym warunkiem studiowania kierunku predyspozycje manualne ogólne zdolności plastyczne umiejętność rysowania malowania wrażliwość barwy wyobraźnia wrażliwość przestrzenna kreatywność przykładowe przedmioty nauczania realizowane kierunku historia sztuki antroposfera ikonosfera percepcja wizualna twórczość artystyczna upowszechnianie animacja promocja kultury wizualnej rysunek malarstwo grafika rzeźba struktury wizualne intermedia projektowanie graficzne fotografia multimedia kultura sztuka współczesna projekty twórcze kreacje wizualne multimedialne techniki teatralne filmowe telewizyjne
